Time[s]	Rotor azimuth angle[deg]	Hub wind speed magnitude[m/s]	ACTTORQUE1[Nm]	PITRAT1[deg/s]	PITFRIC1[kNm]	PITCH1[deg]	Blade root 1 Fx[KN]	Blade root 1 Fy[KN]	Blade root 1 Fz[KN]	Blade root 1 Mx[kNm]	Blade root 1 My[kNm]	Blade root 1 Mz[kNm]	
END_OF_HEADER
50.00	279.9	11.0	-29.8	-0.9	230.4	0.3	290.6	239.4	591.5	-5196.1	13809.8	104.6	
50.05	282.5	10.9	-31.8	-0.6	235.7	0.3	307.3	244.9	583.7	-5239.3	14169.9	98.1	
50.10	285.1	11.1	-43.3	-0.6	240.9	0.2	321.5	256.4	573.7	-5347.6	14502.9	90.6	
50.15	287.7	11.2	-48.6	-0.8	245.3	0.2	328.2	266.0	561.3	-5393.8	14819.4	93.3	
50.20	290.4	11.2	-39.2	-0.7	248.9	0.2	332.5	259.4	549.2	-5265.9	15160.7	108.4	
50.25	293.0	11.3	-35.3	-0.5	252.9	0.1	346.2	243.0	539.5	-4851.3	15621.8	108.8	
50.30	295.6	11.2	-43.4	-0.4	257.4	0.1	369.2	217.1	532.4	-4156.7	16167.3	91.3	
50.35	298.3	11.1	-58.2	-0.5	261.2	0.1	387.9	186.3	525.5	-3406.0	16633.0	74.2	
50.40	300.9	11.5	-62.1	-0.6	264.6	0.1	394.6	170.2	514.4	-2912.8	16995.7	71.5	
50.45	303.5	11.5	-52.4	-0.6	267.6	0.0	391.4	168.7	496.5	-2869.4	17263.4	83.5	
50.50	306.2	11.3	-41.9	-0.4	270.2	0.0	384.7	178.0	476.9	-3091.7	17443.5	95.3	
50.55	308.8	11.1	-40.1	-0.2	271.3	-0.0	377.0	190.3	462.4	-3436.8	17480.4	109.4	
50.60	311.4	11.4	-43.9	-0.3	269.5	-0.0	364.9	193.5	453.4	-3760.4	17305.3	128.6	
50.65	314.1	11.8	-45.5	-0.5	266.5	-0.0	353.8	195.8	445.7	-3762.6	17108.5	142.7	
50.70	316.7	12.3	-35.8	-0.6	263.1	-0.1	344.3	188.1	437.7	-3416.5	16960.6	150.5	
50.75	319.4	12.7	-21.9	-0.4	260.1	-0.1	340.7	157.9	432.9	-2864.0	16884.9	158.6	
50.80	322.0	12.8	-20.2	-0.1	260.1	-0.1	349.4	127.3	432.5	-2227.2	16993.0	155.8	
50.85	324.7	12.7	125.2	0.1	-262.6	-0.1	362.8	109.9	430.2	-1709.6	17220.5	138.8	
50.90	327.3	12.7	118.9	0.2	-266.1	-0.1	370.8	103.5	419.3	-1609.2	17494.0	129.8	
50.95	330.0	12.3	118.8	0.2	-270.8	-0.1	375.3	109.8	406.6	-1832.7	17821.2	134.3	
51.00	332.7	12.0	128.6	0.5	-276.5	-0.1	385.8	116.7	402.9	-2003.4	18201.1	135.6	
51.05	335.4	12.7	133.2	0.8	-281.6	-0.0	399.6	109.5	404.4	-1951.6	18563.5	131.6	
51.10	338.0	12.9	122.3	0.9	-283.8	0.0	408.4	93.3	406.3	-1539.5	18755.4	118.5	
