Time[s]	Rotor azimuth angle[deg]	Hub wind speed magnitude[m/s]	ACTTORQUE1[Nm]	PITRAT1[deg/s]	PITFRIC1[kNm]	PITCH1[deg]	Blade root 1 Fx[KN]	Blade root 1 Fy[KN]	Blade root 1 Fz[KN]	Blade root 1 Mx[kNm]	Blade root 1 My[kNm]	Blade root 1 Mz[kNm]	
END_OF_HEADER
50.00	240.0	6.7	81.5	-0.0	-215.4	-0.1	270.4	237.3	689.7	-4914.8	12669.5	64.4	
50.05	242.4	6.6	82.3	-0.0	-213.1	-0.1	260.7	238.7	681.4	-5049.6	12452.6	69.6	
50.10	244.9	6.7	81.4	-0.0	-212.2	-0.1	252.8	242.7	668.6	-5170.2	12349.2	67.2	
50.15	247.3	6.8	81.0	-0.0	-212.3	-0.1	247.2	251.3	656.2	-5421.8	12253.9	65.7	
50.20	249.8	6.6	81.5	-0.0	-212.1	-0.1	243.6	260.1	647.3	-5759.5	12079.1	67.7	
50.25	252.2	6.6	80.4	-0.0	-211.8	-0.1	243.6	269.6	638.3	-6000.2	11923.0	64.2	
50.30	254.7	6.6	77.9	-0.0	-211.5	-0.1	243.5	277.7	625.3	-6143.6	11810.5	55.8	
50.35	257.1	6.2	77.2	-0.0	-209.7	-0.1	236.5	282.6	611.4	-6261.1	11612.5	55.3	
50.40	259.5	6.1	75.4	-0.0	-207.6	-0.1	231.6	287.1	600.4	-6287.7	11421.3	51.3	
50.45	262.0	5.9	71.8	-0.0	-204.7	-0.1	230.2	286.1	591.3	-6200.2	11236.7	41.7	
50.50	264.4	5.8	69.0	-0.0	-200.7	-0.1	225.4	277.6	580.1	-6079.8	10999.9	36.1	
50.55	266.9	5.9	68.2	-0.0	-197.8	-0.1	219.6	277.5	566.6	-6032.5	10796.3	36.2	
50.60	269.3	6.0	68.4	-0.0	-196.1	-0.1	215.4	285.6	554.6	-6084.0	10614.5	38.8	
50.65	271.7	6.0	67.6	-0.0	-195.0	-0.1	213.1	286.3	543.4	-6182.4	10477.0	37.2	
50.70	274.2	5.5	65.5	-0.0	-194.4	-0.1	213.8	281.7	530.8	-6212.8	10428.5	30.4	
50.75	276.6	5.1	63.6	-0.0	-194.1	-0.1	215.2	280.8	517.4	-6248.5	10391.4	24.4	
50.80	279.1	4.7	63.4	-0.0	-193.2	-0.1	213.8	282.2	505.5	-6293.5	10294.8	24.6	
50.85	281.5	5.1	62.5	-0.0	-191.3	-0.1	212.4	280.1	494.8	-6179.7	10210.5	23.3	
50.90	284.0	5.4	60.2	-0.0	-188.5	-0.1	212.1	269.1	483.8	-5937.1	10148.4	18.1	
50.95	286.4	5.5	59.4	-0.0	-185.4	-0.1	208.9	256.7	472.7	-5787.3	10018.2	18.4	
51.00	288.9	5.4	60.1	-0.0	-182.8	-0.1	203.3	254.8	462.1	-5779.7	9822.7	23.5	
51.05	291.3	5.3	60.2	-0.0	-180.7	-0.1	197.9	258.3	450.2	-5761.8	9655.6	26.0	
51.10	293.7	5.3	59.7	-0.0	-178.7	-0.1	194.3	256.2	437.6	-5647.7	9573.9	26.2	
51.15	296.2	5.3	58.7	-0.0	-177.6	-0.1	194.4	251.2	426.2	-5534.5	9565.5	24.0	
51.20	298.6	5.4	57.3	-0.0	-177.0	-0.1	196.8	249.5	416.7	-5481.6	9554.2	19.7	
51.25	301.1	5.6	55.8	-0.0	-175.6	-0.1	195.2	245.7	406.4	-5416.8	9493.2	15.8	
51.30	303.5	5.5	54.1	-0.0	-173.4	-0.1	190.4	237.6	394.4	-5243.1	9435.9	12.2	
51.35	305.9	5.5	53.2	-0.0	-172.2	-0.1	189.4	231.3	383.9	-5040.6	9470.6	10.4	
51.40	308.4	5.4	52.7	-0.0	-172.4	-0.1	193.4	224.1	375.8	-4904.9	9575.4	8.6	
51.45	310.8	5.7	50.5	-0.0	-173.9	-0.1	201.5	215.1	366.6	-4822.1	9756.1	-0.6	
51.50	313.3	5.8	47.7	-0.0	-175.4	-0.1	210.5	204.5	355.4	-4694.6	9961.4	-11.8	
51.55	315.7	5.7	47.2	-0.0	-175.0	-0.1	215.0	193.4	346.6	-4495.4	10043.0	-12.8	
51.60	318.2	5.9	49.3	-0.0	-172.2	-0.1	210.5	188.0	340.5	-4318.8	9912.9	-2.9	
51.65	320.6	5.9	52.5	-0.0	-167.3	-0.1	197.0	184.4	333.8	-4182.7	9617.2	12.9	
51.70	323.1	5.9	53.8	-0.0	-162.0	-0.1	182.2	173.8	325.0	-3985.0	9324.7	22.6	
51.75	325.5	6.0	53.0	-0.0	-158.7	-0.1	177.2	159.8	317.2	-3666.5	9235.6	23.3	
51.80	327.9	6.1	51.2	-0.0	-158.7	-0.1	184.3	148.2	313.1	-3321.9	9377.8	17.2	
51.85	330.4	6.1	50.4	-0.0	-161.1	-0.1	196.2	138.3	308.5	-3041.6	9655.5	11.7	
51.90	332.8	6.0	49.2	-0.0	-164.3	-0.1	208.6	129.9	300.3	-2760.8	9975.8	4.6	
51.95	335.2	5.9	46.9	-0.0	-166.9	-0.1	220.9	119.3	294.4	-2461.9	10248.8	-5.9	
52.00	337.7	6.0	45.6	-0.0	-168.0	-0.1	231.1	103.9	295.3	-2169.9	10392.0	-11.3	
52.05	340.1	6.4	46.4	-0.0	-167.8	-0.1	234.6	91.2	295.4	-1887.8	10437.1	-8.5	
52.10	342.6	6.3	48.2	-0.0	-165.7	-0.1	228.5	78.7	288.5	-1589.3	10359.1	-0.2	
52.15	345.0	6.1	48.9	-0.0	-162.4	-0.1	219.3	64.0	282.0	-1296.2	10191.6	5.6	
52.20	347.5	5.7	47.4	-0.0	-160.8	-0.1	218.8	51.3	282.1	-948.2	10122.8	1.9	
52.25	349.9	6.1	44.9	-0.0	-162.5	-0.1	227.4	36.8	283.2	-563.0	10259.0	-8.5	
52.30	352.4	6.4	42.6	-0.0	-165.9	-0.1	237.3	19.9	279.4	-179.2	10511.7	-19.5	
52.35	354.8	6.4	42.2	-0.0	-168.0	-0.1	241.7	6.5	274.7	172.6	10662.6	-23.0	
52.40	357.3	6.6	44.3	-0.0	-166.6	-0.1	236.6	-6.0	275.7	466.3	10561.8	-14.6	
52.45	359.7	6.7	47.6	-0.0	-164.0	-0.1	227.5	-16.5	278.9	714.0	10376.2	-0.6	
52.50	2.1	6.8	50.8	-0.0	-163.3	-0.1	221.3	-24.3	277.6	924.7	10323.2	11.2	
52.55	4.6	6.7	50.8	-0.0	-164.5	-0.1	218.8	-33.9	274.9	1121.0	10403.9	10.0	
52.60	7.0	6.7	50.7	-0.0	-168.4	-0.1	224.5	-44.5	276.1	1320.6	10649.7	5.6	
52.65	9.5	6.9	50.2	-0.0	-173.6	-0.1	234.9	-53.8	280.1	1513.5	10985.6	-1.4	
52.70	12.0	6.9	50.6	-0.0	-178.7	-0.1	243.6	-66.1	282.9	1773.2	11300.6	-5.1	
52.75	14.4	7.0	49.5	-0.0	-182.6	-0.1	249.1	-81.2	285.4	2167.6	11499.7	-12.8	
52.80	16.9	7.1	49.6	-0.0	-183.6	-0.1	247.3	-98.7	291.5	2596.2	11472.3	-13.4	
52.85	19.3	7.2	51.9	-0.0	-182.4	-0.1	239.8	-113.3	299.1	2893.6	11301.5	-4.2	
52.90	21.8	7.4	53.0	-0.0	-181.9	-0.1	233.3	-121.9	302.8	3100.5	11210.0	0.2	
52.95	24.3	7.6	54.1	-0.0	-183.5	-0.1	230.3	-132.2	304.0	3315.9	11268.5	2.4	
53.00	26.7	7.4	54.6	-0.0	-187.5	-0.1	234.9	-141.1	308.9	3510.8	11500.1	-0.2	
53.05	29.2	7.5	54.3	-0.0	-194.3	-0.1	249.2	-144.6	319.0	3719.0	11917.4	-8.0	
53.10	31.7	7.5	54.2	-0.0	-202.6	-0.1	267.3	-153.7	327.8	4042.4	12411.2	-16.6	
53.15	34.1	7.7	54.0	-0.0	-210.8	-0.1	283.6	-175.5	335.3	4527.1	12817.4	-25.5	
53.20	36.6	7.5	53.4	-0.0	-217.4	-0.1	297.0	-197.1	346.4	5078.0	13065.3	-34.2	
53.25	39.1	7.3	54.7	-0.0	-221.3	-0.1	303.9	-209.7	358.7	5509.1	13158.8	-33.7	
53.30	41.6	7.2	56.7	-0.0	-223.9	-0.1	304.8	-217.9	365.9	5781.4	13234.5	-29.4	
53.35	44.0	6.9	57.0	-0.0	-227.9	-0.1	306.3	-226.2	368.9	6022.8	13435.3	-32.1	
53.40	46.5	6.7	57.3	-0.0	-232.0	-0.1	310.6	-234.4	375.0	6207.5	13658.3	-35.3	
53.45	49.0	6.7	58.8	-0.0	-233.9	-0.1	313.9	-241.8	388.1	6340.4	13720.9	-32.0	
53.50	51.5	6.9	59.2	-0.0	-234.9	-0.1	314.2	-249.8	401.8	6564.6	13675.1	-31.6	
53.55	53.9	7.1	57.1	-0.0	-238.2	-0.1	315.8	-261.7	410.8	6952.4	13725.6	-42.2	
53.60	56.4	7.2	55.0	-0.0	-242.5	-0.1	318.0	-277.0	418.5	7350.8	13836.6	-53.7	
53.65	58.9	7.3	56.6	-0.0	-245.0	-0.1	317.7	-284.8	429.1	7592.2	13900.9	-50.6	
53.70	61.4	7.1	58.9	-0.0	-247.0	-0.1	316.8	-286.8	438.9	7695.4	14000.2	-44.9	
53.75	63.9	6.9	60.3	-0.0	-249.0	-0.1	314.0	-296.4	446.7	7844.9	14073.7	-42.1	
53.80	66.4	7.3	62.0	-0.0	-249.8	-0.1	308.9	-305.6	456.7	7988.2	14041.4	-37.0	
53.85	68.8	7.2	63.9	-0.0	-248.9	-0.1	304.3	-305.0	470.3	7988.6	13960.6	-29.5	
53.90	71.3	6.9	64.0	-0.0	-249.0	-0.1	303.2	-302.6	482.3	7955.7	13989.2	-29.4	
53.95	73.8	6.9	62.2	-0.0	-251.3	-0.1	305.9	-306.1	493.4	8037.2	14115.3	-37.8	
54.00	76.3	7.1	61.8	-0.0	-254.8	-0.1	312.4	-312.7	506.7	8234.0	14264.9	-42.6	
54.05	78.8	7.2	62.7	-0.0	-257.9	-0.1	318.3	-317.6	522.7	8444.4	14377.4	-42.8	
54.10	81.3	7.1	63.6	-0.0	-260.7	-0.1	318.3	-322.8	534.9	8589.3	14514.1	-42.4	
54.15	83.8	7.1	63.9	-0.0	-263.8	-0.1	315.6	-326.7	542.0	8640.8	14745.1	-44.4	
54.20	86.3	7.2	63.9	-0.0	-266.2	-0.1	316.8	-322.6	551.9	8589.4	14980.4	-46.8	
54.25	88.8	7.5	64.8	-0.0	-268.8	-0.1	326.5	-318.7	567.1	8567.7	15191.2	-46.3	
54.30	91.2	7.6	64.6	-0.0	-273.1	-0.1	341.9	-320.1	583.9	8626.7	15480.7	-51.4	
54.35	93.7	7.7	63.5	-0.0	-278.3	-0.1	355.4	-321.2	597.2	8673.9	15852.8	-60.3	
54.40	96.2	7.9	62.7	-0.0	-282.8	-0.1	362.4	-318.0	607.3	8649.2	16234.5	-67.5	
54.45	98.7	8.2	63.9	-0.0	-285.4	-0.1	362.8	-314.4	617.8	8568.3	16496.9	-66.0	
54.50	101.2	8.3	65.7	-0.0	-287.0	-0.1	362.5	-314.4	631.2	8537.4	16642.4	-61.3	
54.55	103.7	8.4	65.9	-0.0	-289.3	-0.1	365.6	-314.8	646.3	8607.8	16784.3	-63.3	
54.60	106.2	8.4	66.6	-0.0	-290.7	-0.1	366.6	-313.5	658.9	8581.3	16899.0	-62.1	
54.65	108.7	8.3	68.3	-0.0	-290.2	-0.1	365.1	-308.0	669.1	8398.3	16961.9	-55.8	
54.70	111.2	8.0	69.6	-0.0	-289.7	-0.1	365.6	-299.7	680.0	8193.0	17018.8	-50.9	
54.75	113.7	7.8	69.4	-0.0	-289.5	-0.1	369.3	-295.9	692.0	8051.8	17058.4	-51.2	
54.80	116.2	7.6	67.7	-0.0	-289.4	-0.1	377.0	-291.1	704.8	7922.0	17090.8	-57.0	
54.85	118.7	7.6	66.2	-0.0	-288.7	-0.1	383.9	-281.4	719.7	7788.8	17088.3	-61.4	
54.90	121.2	7.5	66.7	-0.0	-287.4	-0.1	384.9	-277.2	732.8	7640.3	17037.5	-58.5	
54.95	123.7	7.6	68.4	-0.0	-284.7	-0.1	377.5	-275.3	743.0	7482.1	16897.1	-49.7	
55.00	126.3	7.7	70.3	-0.0	-281.2	-0.1	367.0	-267.4	753.0	7346.8	16700.2	-39.7	
55.05	128.8	7.5	72.9	-0.0	-277.4	-0.1	356.8	-259.5	763.1	7213.1	16478.2	-27.2	
55.10	131.3	7.8	75.5	-0.0	-275.4	-0.1	351.8	-256.9	773.0	7131.5	16357.1	-16.2	
55.15	133.8	8.1	75.4	-0.0	-275.8	-0.1	356.2	-251.1	781.2	7024.2	16428.2	-17.0	
55.20	136.3	8.4	73.7	-0.0	-276.3	-0.1	365.6	-240.8	790.2	6811.6	16545.7	-23.1	
55.25	138.9	8.2	71.7	-0.0	-275.9	-0.1	375.2	-229.3	800.6	6532.5	16613.5	-29.7	
55.30	141.4	8.1	69.1	-0.0	-274.7	-0.1	381.8	-215.8	811.1	6291.1	16601.5	-37.5	
55.35	143.9	8.1	68.6	-0.0	-270.6	-0.1	378.2	-204.5	817.9	5993.8	16402.7	-35.3	
55.40	146.4	8.2	70.0	-0.0	-263.7	-0.1	365.9	-193.7	823.4	5656.6	16016.9	-23.5	
