Time[s]	Rotor azimuth angle[deg]	Hub wind speed magnitude[m/s]	ACTTORQUE1[Nm]	PITRAT1[deg/s]	PITFRIC1[kNm]	PITCH1[deg]	Blade root 1 Fx[KN]	Blade root 1 Fy[KN]	Blade root 1 Fz[KN]	Blade root 1 Mx[kNm]	Blade root 1 My[kNm]	Blade root 1 Mz[kNm]	
END_OF_HEADER
50.00	292.1	10.4	-46.9	-0.0	251.2	-0.3	330.7	258.7	555.8	-5218.7	15363.8	90.2	
50.05	294.8	10.2	-49.5	-0.0	250.3	-0.3	342.4	237.6	554.7	-4869.4	15418.4	80.5	
50.10	297.4	10.1	-50.6	-0.0	248.0	-0.3	341.6	224.0	543.5	-4477.6	15388.6	74.2	
50.15	300.1	10.0	-46.5	-0.0	244.3	-0.3	324.1	223.0	522.6	-4259.8	15223.0	84.5	
50.20	302.7	10.0	-39.7	-0.0	238.5	-0.3	302.8	213.7	504.8	-4052.7	14907.5	102.2	
50.25	305.4	10.2	-38.0	-0.0	233.1	-0.3	296.1	200.0	496.5	-3666.1	14635.7	102.6	
50.30	308.0	10.4	-40.6	-0.0	229.8	-0.3	297.0	187.0	487.2	-3378.3	14471.4	90.5	
50.35	310.7	10.6	-41.2	-0.0	228.3	-0.3	292.8	181.9	470.1	-3397.4	14385.1	86.8	
50.40	313.3	10.9	-42.7	-0.0	229.6	-0.3	292.8	188.7	454.3	-3464.6	14469.1	83.1	
50.45	316.0	11.2	-44.0	-0.0	230.8	-0.3	297.1	183.7	447.4	-3407.4	14580.3	79.9	
50.50	318.7	11.1	-43.2	-0.0	229.9	-0.3	299.1	166.1	445.8	-3177.5	14586.6	81.7	
50.55	321.3	10.8	-42.2	-0.0	228.7	-0.3	298.0	153.5	440.7	-2845.6	14583.0	83.7	
50.60	324.0	10.2	-41.9	-0.0	229.8	-0.3	296.9	143.3	429.0	-2571.2	14747.9	86.0	
50.65	326.8	10.1	-33.6	-0.0	240.1	-0.3	292.6	167.4	420.3	-4109.8	15187.9	124.6	
50.70	329.5	10.3	-41.4	-0.0	249.9	-0.3	320.0	124.0	418.0	-3835.8	16009.3	107.7	
50.75	332.1	10.6	-66.3	-0.0	265.1	-0.3	384.6	162.7	421.8	-3081.0	17118.1	37.5	
50.80	334.9	11.0	132.8	0.5	-255.4	-0.3	334.0	100.4	421.3	-3216.1	16548.0	135.5	
50.85	337.7	11.0	130.3	0.9	-254.9	-0.3	329.6	127.8	419.7	-2994.2	16540.7	144.0	
