Time[s]	Rotor azimuth angle[deg]	Hub wind speed magnitude[m/s]	ACTTORQUE1[Nm]	PITRAT1[deg/s]	PITFRIC1[kNm]	PITCH1[deg]	Blade root 1 Fx[KN]	Blade root 1 Fy[KN]	Blade root 1 Fz[KN]	Blade root 1 Mx[kNm]	Blade root 1 My[kNm]	Blade root 1 Mz[kNm]	
END_OF_HEADER
50.00	301.7	8.2	0.0	0.0	32.3	-0.1	222.4	225.4	301.5	-5134.9	10829.5	32.3	
50.05	303.9	8.4	0.0	0.0	28.6	-0.1	226.0	221.4	290.7	-4931.2	10947.7	28.6	
50.10	306.1	8.6	0.0	0.0	27.2	-0.1	230.4	217.2	283.3	-4763.6	11039.0	27.2	
50.15	308.3	8.7	0.0	0.0	29.8	-0.1	229.8	211.9	277.2	-4691.3	11022.7	29.8	
50.20	310.5	8.8	0.0	0.0	35.1	-0.1	228.1	209.3	267.7	-4575.9	11019.6	35.1	
50.25	312.7	9.0	0.0	0.0	37.1	-0.1	224.4	200.0	257.5	-4346.5	11019.7	37.1	
50.30	314.9	8.9	0.0	0.0	41.6	-0.1	221.6	185.5	251.1	-4044.4	11003.8	41.6	
50.35	317.1	8.6	0.0	0.0	41.1	-0.1	224.0	179.6	247.2	-3701.4	11051.9	41.1	
50.40	319.3	8.3	0.0	0.0	38.4	-0.1	226.0	172.0	239.1	-3427.3	11151.6	38.4	
50.45	321.5	8.2	0.0	0.0	35.3	-0.1	228.0	157.1	227.6	-3228.3	11297.5	35.3	
50.50	323.7	8.2	0.0	0.0	26.2	-0.1	237.9	147.4	220.6	-3045.6	11520.3	26.2	
50.55	325.9	8.3	0.0	0.0	21.2	-0.1	248.2	142.0	218.9	-2913.1	11681.5	21.2	
50.60	328.1	8.4	0.0	0.0	20.3	-0.1	253.0	135.4	214.9	-2771.1	11764.6	20.3	
50.65	330.4	8.4	0.0	0.0	19.8	-0.1	254.1	129.6	206.1	-2576.5	11849.4	19.8	
50.70	332.6	8.3	0.0	0.0	20.2	-0.1	253.7	116.4	199.0	-2347.1	11897.4	20.2	
50.75	334.8	8.1	0.0	0.0	19.6	-0.1	254.5	97.1	195.4	-2038.6	11902.9	19.6	
50.80	337.0	8.0	0.0	0.0	12.1	-0.1	256.6	82.5	192.1	-1600.6	11874.9	12.1	
50.85	339.2	7.9	0.0	0.0	7.9	-0.1	255.1	70.8	185.7	-1228.6	11793.8	7.9	
50.90	341.4	8.0	0.0	0.0	14.2	-0.1	248.1	62.9	180.9	-1025.2	11599.9	14.2	
50.95	343.6	8.0	0.0	0.0	18.2	-0.1	243.9	58.5	179.0	-890.2	11453.8	18.2	
51.00	345.8	7.8	0.0	0.0	18.9	-0.1	241.8	49.5	175.9	-751.1	11392.3	18.9	
51.05	348.0	7.7	0.0	0.0	17.9	-0.1	241.4	38.3	172.1	-544.3	11393.0	17.9	
51.10	350.2	7.6	0.0	0.0	15.5	-0.1	244.0	33.7	170.5	-347.7	11469.0	15.5	
51.15	352.4	7.5	0.0	0.0	19.5	-0.1	247.2	26.0	171.1	-81.3	11568.6	19.5	
51.20	354.6	7.5	0.0	0.0	12.1	-0.1	255.7	8.0	169.6	283.5	11829.4	12.1	
51.25	356.8	7.4	0.0	0.0	2.7	-0.1	264.7	-14.7	168.9	730.4	12093.7	2.7	
51.30	359.0	7.3	0.0	0.0	-3.1	-0.1	274.3	-33.9	169.6	1120.0	12354.9	-3.1	
51.35	1.2	7.5	0.0	0.0	-2.7	-0.1	277.6	-45.3	170.9	1434.0	12489.4	-2.7	
51.40	3.4	7.9	0.0	0.0	-2.5	-0.1	278.4	-51.8	169.8	1711.2	12602.1	-2.5	
51.45	5.6	8.2	0.0	0.0	-4.2	-0.1	280.6	-61.2	167.9	1970.7	12737.3	-4.2	
51.50	7.8	8.6	0.0	0.0	-0.5	-0.1	281.3	-69.8	169.7	2142.9	12800.2	-0.5	
51.55	10.0	8.6	0.0	0.0	-2.6	-0.1	282.7	-74.4	173.1	2367.3	12833.0	-2.6	
51.60	12.2	8.6	0.0	0.0	-7.4	-0.1	284.0	-84.1	174.0	2747.2	12878.0	-7.4	
51.65	14.4	8.7	0.0	0.0	-10.4	-0.1	284.7	-101.9	174.5	3169.1	12892.4	-10.4	
51.70	16.6	8.6	0.0	0.0	-5.9	-0.1	284.2	-114.3	180.5	3563.7	12835.2	-5.9	
51.75	18.7	8.6	0.0	0.0	-9.0	-0.1	285.0	-124.4	185.2	3884.5	12836.4	-9.0	
51.80	21.0	8.6	0.0	0.0	-10.2	-0.1	280.1	-141.0	186.4	4175.5	12789.5	-10.2	
51.85	23.1	8.6	0.0	0.0	-11.2	-0.1	274.5	-150.3	187.1	4380.8	12752.3	-11.2	
51.90	25.3	8.6	0.0	0.0	-9.8	-0.1	271.5	-152.4	191.5	4475.5	12766.0	-9.8	
51.95	27.5	8.7	0.0	0.0	-6.1	-0.1	269.4	-159.1	195.9	4528.3	12822.3	-6.1	
52.00	29.7	8.7	0.0	0.0	-12.8	-0.1	274.4	-168.0	199.2	4707.4	13034.5	-12.8	
52.05	31.9	8.7	0.0	0.0	-18.9	-0.1	279.2	-180.9	205.5	4984.3	13186.0	-18.9	
52.10	34.1	8.8	0.0	0.0	-15.3	-0.1	279.3	-194.8	214.3	5222.2	13186.0	-15.3	
52.15	36.3	8.9	0.0	0.0	-13.7	-0.1	278.7	-201.6	222.1	5485.9	13181.0	-13.7	
52.20	38.5	8.9	0.0	0.0	-17.8	-0.1	276.4	-209.1	226.7	5785.8	13203.7	-17.8	
52.25	40.7	8.8	0.0	0.0	-16.9	-0.1	271.5	-220.3	229.9	5977.5	13205.1	-16.9	
52.30	42.9	8.7	0.0	0.0	-14.4	-0.1	270.2	-222.9	237.7	6074.9	13229.0	-14.4	
52.35	45.1	8.4	0.0	0.0	-16.0	-0.1	272.4	-225.5	247.1	6189.7	13335.2	-16.0	
52.40	47.3	8.2	0.0	0.0	-23.4	-0.1	276.8	-232.6	253.8	6339.0	13525.5	-23.4	
52.45	49.5	8.5	0.0	0.0	-34.7	-0.1	283.2	-237.3	262.8	6541.4	13744.3	-34.7	
52.50	51.7	8.6	0.0	0.0	-42.0	-0.1	288.7	-243.0	274.9	6726.4	13901.7	-42.0	
52.55	53.9	8.4	0.0	0.0	-44.5	-0.1	291.9	-256.0	285.6	6927.5	13988.6	-44.5	
52.60	56.1	8.2	0.0	0.0	-47.1	-0.1	292.6	-270.3	292.9	7209.4	14043.0	-47.1	
52.65	58.3	7.9	0.0	0.0	-45.3	-0.1	289.3	-278.7	299.7	7464.9	14023.5	-45.3	
52.70	60.5	7.8	0.0	0.0	-37.1	-0.1	282.4	-280.9	307.6	7573.0	13915.9	-37.1	
52.75	62.7	7.8	0.0	0.0	-32.8	-0.1	280.7	-282.1	316.6	7636.9	13901.6	-32.8	
52.80	64.9	7.9	0.0	0.0	-37.2	-0.1	286.3	-291.5	324.7	7772.6	14033.2	-37.2	
52.85	67.1	7.9	0.0	0.0	-45.8	-0.1	297.0	-299.5	334.7	7935.6	14202.2	-45.8	
52.90	69.3	7.9	0.0	0.0	-51.7	-0.1	307.4	-298.7	348.1	8088.5	14314.7	-51.7	
52.95	71.5	7.8	0.0	0.0	-58.3	-0.1	314.5	-295.0	361.4	8211.1	14388.1	-58.3	
53.00	73.7	7.7	0.0	0.0	-60.9	-0.1	317.4	-299.1	371.5	8348.3	14427.5	-60.9	
53.05	75.9	7.8	0.0	0.0	-63.2	-0.1	314.6	-309.4	379.9	8470.1	14365.2	-63.2	
53.10	78.1	7.7	0.0	0.0	-62.7	-0.1	307.9	-312.7	391.0	8526.6	14159.7	-62.7	
53.15	80.3	7.7	0.0	0.0	-60.9	-0.1	298.3	-311.6	402.5	8539.3	13884.9	-60.9	
53.20	82.5	7.7	0.0	0.0	-55.0	-0.1	284.2	-313.9	412.1	8539.2	13555.5	-55.0	
53.25	84.7	7.9	0.0	0.0	-50.9	-0.1	271.7	-316.9	421.8	8514.0	13240.5	-50.9	
53.30	86.9	8.1	0.0	0.0	-46.6	-0.1	262.1	-318.7	433.5	8437.4	12889.8	-46.6	
53.35	89.1	8.3	0.0	0.0	-45.7	-0.1	255.2	-320.6	445.2	8372.8	12506.5	-45.7	
53.40	91.3	8.3	0.0	0.0	-44.9	-0.1	251.0	-318.3	456.4	8384.9	12171.8	-44.9	
53.45	93.5	8.3	0.0	0.0	-44.0	-0.1	247.1	-315.9	465.5	8347.3	11907.7	-44.0	
53.50	95.7	8.5	0.0	0.0	-42.0	-0.1	244.5	-311.5	474.3	8214.8	11723.8	-42.0	
53.55	97.9	8.3	0.0	0.0	-43.1	-0.1	244.3	-307.4	484.7	8119.0	11612.9	-43.1	
53.60	100.1	8.3	0.0	0.0	-45.4	-0.1	243.1	-302.3	495.2	8025.4	11476.8	-45.4	
53.65	102.3	8.4	0.0	0.0	-42.1	-0.1	239.7	-296.4	506.4	7936.2	11270.9	-42.1	
53.70	104.5	8.5	0.0	0.0	-39.5	-0.1	234.8	-290.9	518.5	7892.3	11018.3	-39.5	
53.75	106.7	8.7	0.0	0.0	-39.8	-0.1	230.6	-287.4	529.1	7840.8	10790.1	-39.8	
