Time[s]	Rotor azimuth angle[deg]	Hub wind speed magnitude[m/s]	ACTTORQUE1[Nm]	PITRAT1[deg/s]	PITFRIC1[kNm]	PITCH1[deg]	Blade root 1 Fx[KN]	Blade root 1 Fy[KN]	Blade root 1 Fz[KN]	Blade root 1 Mx[kNm]	Blade root 1 My[kNm]	Blade root 1 Mz[kNm]	
END_OF_HEADER
50.00	305.7	27.0	35.6	0.5	-148.6	24.0	257.0	141.3	550.1	-1824.9	8637.6	-11.4	
50.05	308.4	27.1	36.0	0.5	-144.5	24.1	253.3	124.6	537.6	-1642.2	8405.0	-21.7	
50.10	311.2	27.9	33.2	0.6	-140.4	24.1	245.2	98.8	518.9	-1406.9	8197.4	-40.6	
50.15	314.0	27.9	27.8	0.7	-137.2	24.1	246.7	83.5	517.0	-1237.1	7992.6	-51.3	
50.20	316.8	28.3	20.7	0.7	-134.4	24.2	247.4	72.0	518.4	-1161.4	7795.9	-56.0	
50.25	319.6	28.9	12.9	0.5	-133.2	24.2	241.6	67.1	501.9	-939.5	7770.8	-67.5	
50.30	322.4	28.7	14.4	0.4	-133.3	24.2	234.5	63.4	476.2	-747.8	7840.2	-68.0	
50.35	325.1	28.7	23.0	0.4	-131.8	24.2	235.0	45.3	470.4	-630.9	7753.6	-58.7	
50.40	327.9	28.8	21.6	0.5	-129.9	24.3	247.0	33.0	480.4	-331.2	7591.9	-66.5	
50.45	330.6	28.8	15.6	0.5	-130.4	24.3	258.9	20.8	474.6	5.0	7612.6	-79.4	
50.50	333.3	28.6	11.6	0.5	-130.5	24.3	259.6	8.3	454.5	273.1	7626.1	-83.9	
50.55	336.1	28.5	8.8	0.4	-123.9	24.3	242.4	1.2	442.9	503.7	7173.8	-84.2	
50.60	338.8	28.9	11.7	0.3	-114.5	24.3	221.8	-8.0	438.4	566.6	6518.4	-69.1	
50.65	341.7	29.2	29.4	0.3	-112.9	24.4	204.1	32.1	433.8	-1565.1	6277.8	-5.3	
50.70	344.5	29.1	8.1	0.2	-107.0	24.4	193.6	2.7	425.8	-937.2	5995.1	-64.5	
50.75	347.2	28.5	-20.8	0.0	-100.1	24.4	193.7	18.6	433.5	28.8	5536.3	-153.9	
50.80	350.1	28.6	22.6	0.5	-89.9	24.4	160.7	-70.2	431.2	-385.9	4811.1	-76.2	
50.85	352.8	28.4	9.3	0.9	-78.0	24.4	143.3	0.4	433.3	429.5	3991.4	-93.6	
50.90	355.6	27.9	-6.8	1.2	-71.5	24.5	130.5	-20.6	437.3	680.1	3487.9	-130.3	
50.95	358.5	27.0	0.2	1.4	-69.8	24.5	112.7	-128.7	432.5	150.3	3313.7	-95.4	
51.00	1.2	27.1	-6.9	1.5	-72.1	24.6	125.5	-58.1	433.5	839.3	3480.4	-115.5	
51.05	3.9	27.3	-2.3	1.7	-80.0	24.7	145.5	-62.5	427.5	948.0	4019.7	-102.7	
51.10	6.8	25.7	12.8	1.7	-84.3	24.8	152.9	-87.1	422.8	1378.8	4180.8	-51.1	
51.15	9.5	25.4	6.1	1.8	-89.6	24.9	161.5	-37.3	440.0	2787.2	3937.2	-76.9	
51.20	12.3	25.1	7.2	1.9	-83.2	25.0	138.9	-114.8	445.9	2636.4	3390.4	-64.7	
51.25	15.2	23.8	12.9	1.9	-77.9	25.1	123.1	-136.9	448.4	2619.0	2855.4	-37.9	
51.30	18.0	23.7	9.8	1.9	-81.3	25.2	130.6	-86.0	459.8	3224.8	2706.2	-51.2	
51.35	20.8	23.6	6.0	1.9	-81.7	25.2	124.6	-151.8	467.7	3077.6	2733.9	-63.6	
51.40	23.6	23.4	-1.8	2.0	-85.4	25.3	136.0	-150.7	482.9	3333.1	2817.3	-93.6	
51.45	26.5	23.3	-7.0	2.0	-85.6	25.4	153.9	-131.3	492.5	3184.5	2990.4	-110.9	
51.50	29.4	23.5	-12.6	2.0	-80.9	25.5	135.3	-201.2	492.5	2570.1	2926.3	-125.2	
51.55	32.2	23.9	-28.2	2.0	-83.5	25.6	123.3	-193.0	497.8	3270.7	2518.6	-181.0	
51.60	35.1	23.1	-28.6	2.0	-85.0	25.7	127.5	-189.2	504.2	3668.1	2131.5	-183.9	
51.65	37.9	23.0	-21.2	2.0	-79.1	25.8	106.2	-208.6	515.3	3422.3	1578.9	-152.4	
51.70	40.6	23.5	-23.2	2.0	-81.9	25.9	97.6	-178.2	536.3	3930.3	1011.0	-162.1	
51.75	43.5	23.2	-18.7	2.0	-86.1	26.0	113.0	-232.2	542.3	4112.8	888.8	-150.6	
51.80	46.3	23.4	-14.3	2.0	-86.9	26.1	104.6	-264.5	546.8	4135.1	630.9	-136.3	
51.85	49.1	23.6	-7.4	2.0	-86.8	26.2	94.3	-205.4	572.5	4328.8	-160.3	-112.3	
51.90	51.9	23.5	12.2	2.0	-83.9	26.3	86.0	-212.2	587.2	3956.9	-1042.7	-42.3	
51.95	54.8	23.4	19.3	2.0	-87.8	26.4	35.2	-213.7	589.0	3933.3	-2016.7	-21.5	
52.00	57.6	23.1	18.3	2.0	-95.8	26.5	-4.6	-205.8	592.2	4260.5	-2730.8	-33.0	
52.05	60.5	22.4	18.7	2.0	-99.7	26.6	-3.9	-253.4	604.8	4169.3	-3110.8	-35.4	
52.10	63.4	21.7	13.0	2.0	-108.1	26.7	-18.4	-247.7	630.5	4602.6	-3584.3	-63.5	
52.15	66.2	21.6	8.7	2.0	-114.9	26.8	-30.0	-246.4	645.6	5062.8	-3808.7	-85.0	
52.20	69.1	22.1	9.5	2.0	-116.1	26.9	-16.9	-290.5	642.9	5056.5	-3759.8	-83.5	
52.25	72.0	22.4	10.8	2.0	-118.6	27.0	-24.9	-272.0	649.6	5168.0	-4006.2	-81.4	
52.30	74.9	22.6	17.9	2.0	-118.8	27.1	-33.3	-259.6	663.4	4926.1	-4357.5	-57.3	
52.35	77.8	22.7	23.3	2.0	-121.4	27.2	-19.7	-277.1	673.8	4798.7	-4708.7	-41.6	
52.40	80.6	22.0	24.4	2.0	-130.6	27.3	-36.8	-263.0	680.3	5284.1	-5249.3	-46.7	
52.45	83.4	21.8	34.7	2.0	-137.0	27.4	-62.7	-275.9	685.4	5386.0	-5745.9	-17.8	
52.50	86.3	21.9	47.3	2.0	-144.1	27.5	-60.2	-282.6	700.5	5515.8	-6320.6	18.4	
52.55	89.1	22.2	51.0	2.0	-156.4	27.6	-70.8	-277.2	725.6	6060.4	-7069.3	18.5	
52.60	91.9	22.9	59.3	2.0	-166.5	27.7	-88.2	-309.2	741.3	6382.5	-7638.7	37.0	
52.65	94.7	23.5	65.9	2.0	-168.4	27.8	-69.8	-305.7	742.5	6537.6	-7732.3	57.8	
52.70	97.5	23.1	72.1	2.0	-167.9	27.9	-63.6	-277.3	750.0	6389.0	-7905.1	79.7	
52.75	100.3	23.1	84.8	2.0	-166.7	28.0	-77.9	-274.5	761.7	5779.6	-8241.5	124.3	
52.80	103.1	23.1	88.3	2.0	-168.2	28.1	-75.7	-263.9	775.6	5559.4	-8546.6	134.8	
52.85	105.9	22.7	90.5	2.0	-170.2	28.2	-85.4	-262.7	788.5	5365.1	-8834.1	140.4	
52.90	108.7	21.8	94.3	2.0	-171.0	28.3	-105.1	-266.9	801.2	4940.6	-9099.1	152.7	
52.95	111.5	21.0	87.8	2.0	-172.0	28.4	-95.7	-249.2	817.9	4941.6	-9238.9	129.3	
53.00	114.3	20.4	79.0	2.0	-172.5	28.5	-83.2	-265.6	833.0	5013.0	-9189.8	98.7	
53.05	117.1	20.5	66.9	2.0	-168.9	28.6	-81.9	-282.0	840.2	4809.2	-8934.1	60.6	
53.10	119.9	20.6	61.9	2.0	-162.0	28.7	-75.0	-254.0	841.3	4351.0	-8675.1	50.5	
53.15	122.6	20.6	61.1	2.0	-154.5	28.8	-78.0	-237.0	839.4	3436.7	-8518.6	55.4	
53.20	125.4	21.0	65.1	2.0	-151.7	28.9	-99.4	-211.9	843.1	2655.9	-8617.9	71.8	
53.25	128.1	20.8	63.0	2.0	-149.4	29.0	-95.8	-182.0	857.4	2261.5	-8623.1	67.0	
53.30	130.8	20.6	59.2	2.0	-148.6	29.1	-86.4	-189.0	876.0	2061.0	-8584.3	54.8	
53.35	133.5	21.7	58.8	2.0	-149.2	29.2	-95.6	-189.4	882.5	2052.8	-8617.3	52.8	
53.40	136.3	22.7	55.9	2.0	-147.4	29.3	-91.1	-177.9	878.0	2210.0	-8478.4	44.5	
53.45	139.0	23.3	53.7	2.0	-145.1	29.4	-76.3	-194.0	882.6	2356.7	-8226.7	39.2	
53.50	141.7	23.1	55.4	2.0	-146.6	29.5	-78.1	-200.2	898.3	2607.1	-8236.6	43.7	
53.55	144.4	23.0	54.2	2.0	-146.2	29.6	-79.1	-189.2	902.4	2586.0	-8244.9	40.0	
53.60	147.1	23.5	60.5	2.0	-144.6	29.7	-89.0	-169.8	892.4	2158.7	-8284.2	63.2	
53.65	149.7	24.6	66.7	2.0	-144.7	29.8	-106.8	-136.2	888.8	2001.5	-8395.6	84.1	
