Time[s]	Rotor azimuth angle[deg]	Hub wind speed magnitude[m/s]	ACTTORQUE1[Nm]	PITRAT1[deg/s]	PITFRIC1[kNm]	PITCH1[deg]	Blade root 1 Fx[KN]	Blade root 1 Fy[KN]	Blade root 1 Fz[KN]	Blade root 1 Mx[kNm]	Blade root 1 My[kNm]	Blade root 1 Mz[kNm]	
END_OF_HEADER
50.00	291.8	10.9	-47.3	-0.0	246.3	-0.3	343.8	225.8	558.5	-4147.1	15328.4	84.0	
50.05	294.5	10.7	-46.9	-0.0	245.9	-0.3	340.5	214.6	544.4	-3835.6	15412.7	84.8	
50.10	297.1	10.9	-48.5	-0.0	245.5	-0.3	340.4	201.3	530.5	-3474.6	15498.7	79.0	
50.15	299.8	11.2	-49.8	-0.0	244.4	-0.3	341.3	192.2	520.0	-3230.2	15487.3	73.3	
50.20	302.5	11.5	-46.9	-0.0	241.8	-0.3	334.2	189.7	509.1	-3235.4	15317.9	80.8	
50.25	305.1	12.0	-42.0	-0.0	238.9	-0.3	322.4	189.6	495.4	-3358.7	15108.6	94.9	
50.30	307.8	12.4	-40.3	-0.0	237.5	-0.3	316.2	194.8	481.6	-3478.8	14990.1	99.2	
50.35	310.5	12.6	-40.9	-0.0	237.2	-0.3	316.6	194.3	471.2	-3646.3	14933.2	96.7	
50.40	313.1	12.5	-42.1	-0.0	237.4	-0.3	320.8	189.3	465.3	-3708.8	14937.1	92.7	
50.45	315.8	12.5	-43.8	-0.0	237.1	-0.3	322.5	181.2	457.2	-3531.2	14974.6	86.8	
50.50	318.5	12.6	-42.8	-0.0	234.6	-0.3	315.3	160.9	445.0	-3254.8	14899.6	87.6	
50.55	321.2	12.6	-41.2	-0.0	231.3	-0.3	309.0	144.8	436.2	-2946.6	14751.1	90.0	
50.60	323.8	12.5	-40.5	-0.0	227.8	-0.3	307.6	132.6	434.1	-2551.1	14575.3	88.9	
50.65	326.5	12.5	-39.8	-0.0	224.3	-0.3	303.9	115.8	429.8	-2182.2	14397.8	87.7	
