Time[s]	Rotor azimuth angle[deg]	Hub wind speed magnitude[m/s]	ACTTORQUE1[Nm]	PITRAT1[deg/s]	PITFRIC1[kNm]	PITCH1[deg]	Blade root 1 Fx[KN]	Blade root 1 Fy[KN]	Blade root 1 Fz[KN]	Blade root 1 Mx[kNm]	Blade root 1 My[kNm]	Blade root 1 Mz[kNm]	
END_OF_HEADER
50.00	309.5	13.7	-59.1	-0.3	159.9	10.7	228.2	154.2	508.4	-2672.6	9402.9	-42.8	
50.05	312.2	14.0	-62.2	-0.3	160.3	10.6	231.7	141.6	488.4	-2419.3	9527.2	-54.3	
50.10	315.0	13.7	-59.3	-0.4	157.1	10.6	223.1	142.3	473.4	-2428.2	9310.5	-43.2	
50.15	317.7	13.4	-53.6	-0.4	152.2	10.6	211.3	148.8	469.7	-2517.1	8924.4	-21.1	
50.20	320.4	13.1	-48.6	-0.6	147.3	10.6	199.7	141.5	462.8	-2410.3	8615.1	-5.1	
50.25	323.1	12.4	-48.3	-0.6	145.2	10.5	197.9	126.0	449.3	-2063.8	8577.7	-11.4	
50.30	325.8	12.2	-45.8	-0.6	145.3	10.5	203.6	116.7	439.7	-1755.1	8666.1	-16.3	
50.35	328.5	12.1	-40.4	-0.5	145.7	10.5	208.7	109.4	437.4	-1517.4	8739.1	-7.8	
50.40	331.2	11.9	-41.4	-0.4	145.0	10.5	209.6	89.9	433.2	-1076.6	8776.0	-8.6	
50.45	333.8	11.8	-45.0	-0.4	143.6	10.5	204.3	64.3	420.7	-572.6	8769.3	-14.4	
50.50	336.5	11.8	-48.4	-0.4	143.9	10.4	203.9	56.3	410.2	-335.8	8819.9	-16.9	
50.55	339.2	11.9	-52.5	-0.5	147.1	10.4	213.9	60.4	410.0	-264.1	9032.3	-18.5	
50.60	341.9	12.4	-57.6	-0.7	152.5	10.4	227.8	50.5	408.7	-115.0	9412.6	-25.9	
