Time[s]	Rotor azimuth angle[deg]	Hub wind speed magnitude[m/s]	ACTTORQUE1[Nm]	PITRAT1[deg/s]	PITFRIC1[kNm]	PITCH1[deg]	Blade root 1 Fx[KN]	Blade root 1 Fy[KN]	Blade root 1 Fz[KN]	Blade root 1 Mx[kNm]	Blade root 1 My[kNm]	Blade root 1 Mz[kNm]	
END_OF_HEADER
50.00	306.5	14.7	70.5	0.7	-204.5	6.4	278.2	189.1	520.8	-3621.6	12442.6	37.8	
50.05	309.3	14.5	66.8	0.6	-202.5	6.4	280.9	164.8	510.9	-3092.4	12475.2	29.5	
50.10	312.0	14.7	64.7	0.6	-201.7	6.4	284.0	155.3	499.3	-2709.9	12516.1	25.0	
50.15	314.7	14.8	69.5	0.7	-201.1	6.5	283.3	156.9	487.5	-2569.4	12503.4	29.5	
50.20	317.4	14.5	74.0	0.8	-199.2	6.5	278.1	149.4	477.8	-2511.9	12400.0	37.3	
50.25	320.2	14.3	69.0	0.8	-196.5	6.6	273.7	140.3	472.1	-2347.6	12256.7	37.1	
50.30	322.9	14.0	63.0	0.7	-193.0	6.6	267.2	137.6	468.6	-2201.9	12035.7	42.2	
50.35	325.6	13.6	63.1	0.5	-188.0	6.6	254.8	134.5	462.7	-2064.0	11720.0	55.9	
50.40	328.3	13.5	66.2	0.4	-184.9	6.6	249.1	126.4	455.0	-1666.2	11580.6	57.8	
50.45	331.1	13.3	71.7	0.5	-184.8	6.7	252.8	100.8	449.4	-1041.9	11667.4	47.0	
50.50	333.8	13.0	71.9	0.6	-186.1	6.7	256.6	74.5	444.3	-504.7	11817.5	38.1	
50.55	336.5	13.0	66.4	0.7	-186.7	6.7	253.9	59.5	433.8	-173.4	11904.6	35.5	
50.60	339.2	13.0	61.4	0.6	-185.6	6.8	246.3	49.1	420.5	97.1	11857.2	34.1	
50.65	341.9	13.1	58.0	0.5	-184.8	6.8	244.6	43.1	415.4	325.6	11805.0	29.4	
50.70	344.7	13.4	58.5	0.4	-184.6	6.8	246.9	33.4	418.8	500.2	11778.4	32.7	
50.75	347.4	13.7	64.9	0.4	-185.6	6.8	249.5	19.7	417.5	666.6	11845.1	38.8	
50.80	350.1	13.9	67.6	0.4	-186.7	6.9	249.5	4.3	408.1	880.7	11927.7	38.6	
50.85	352.8	13.8	65.5	0.5	-186.7	6.9	248.5	-5.2	402.4	1203.0	11901.3	32.7	
50.90	355.5	13.9	62.5	0.5	-185.0	6.9	245.5	-16.4	405.3	1665.1	11720.3	27.9	
50.95	358.2	13.9	62.3	0.5	-182.4	6.9	238.0	-38.7	408.0	2233.0	11440.5	30.3	
51.00	0.9	13.8	62.1	0.5	-180.5	6.9	229.9	-66.6	406.0	2767.8	11182.6	32.1	
51.05	3.7	13.9	59.3	0.4	-179.3	7.0	225.8	-84.6	406.2	3120.7	10987.9	29.1	
51.10	6.4	13.8	54.7	0.3	-179.6	7.0	229.4	-84.2	413.5	3301.4	10944.4	22.7	
51.15	9.1	13.6	52.9	0.2	-183.4	7.0	240.0	-83.5	418.9	3415.8	11174.3	14.2	
51.20	11.9	13.4	54.9	0.2	-191.0	7.0	256.0	-96.7	417.6	3607.0	11655.1	-0.6	
51.25	14.6	13.2	59.8	0.4	-199.4	7.0	274.0	-115.7	417.0	3890.6	12166.5	-14.0	
51.30	17.3	13.1	59.9	0.5	-204.5	7.0	284.8	-129.8	423.6	4212.9	12412.9	-20.9	
51.35	20.1	13.3	53.8	0.5	-205.3	7.1	281.4	-146.3	429.9	4620.8	12311.8	-20.3	
51.40	22.8	13.4	47.7	0.4	-205.1	7.1	272.3	-166.2	431.4	5170.6	12066.1	-24.4	
51.45	25.5	13.4	48.3	0.3	-205.2	7.1	266.3	-186.7	433.1	5652.7	11835.0	-26.9	
51.50	28.3	13.0	53.0	0.3	-205.3	7.1	266.8	-198.6	439.9	5889.0	11693.7	-25.3	
51.55	31.0	13.0	55.9	0.4	-205.7	7.1	271.8	-198.8	448.4	5949.6	11680.7	-21.5	
51.60	33.7	13.2	56.5	0.4	-206.8	7.2	273.4	-207.7	451.8	5999.0	11725.1	-16.8	
51.65	36.4	13.4	55.6	0.4	-208.4	7.2	273.5	-215.4	457.1	6145.5	11765.9	-16.4	
51.70	39.2	13.4	56.6	0.4	-208.4	7.2	269.5	-216.5	470.9	6333.9	11659.4	-14.7	
51.75	41.9	13.5	59.3	0.4	-207.1	7.2	257.9	-229.3	484.3	6601.7	11383.6	-6.9	
51.80	44.6	13.6	57.4	0.4	-207.7	7.2	248.0	-246.8	493.6	7023.2	11158.5	-8.8	
51.85	47.3	13.7	53.7	0.3	-210.8	7.3	242.4	-269.8	499.9	7491.1	11081.4	-18.9	
51.90	50.1	13.8	50.3	0.3	-215.2	7.3	246.0	-286.9	508.9	7863.1	11172.4	-31.2	
51.95	52.8	14.1	50.0	0.2	-219.9	7.3	258.4	-290.4	522.7	8107.0	11382.1	-40.0	
52.00	55.5	13.9	54.2	0.2	-224.2	7.3	268.8	-304.1	533.2	8266.7	11598.1	-42.0	
52.05	58.2	13.6	56.5	0.3	-229.0	7.3	278.1	-318.7	541.7	8499.2	11809.0	-50.4	
52.10	60.9	13.4	52.5	0.4	-232.0	7.3	285.2	-317.0	556.7	8743.3	11882.6	-64.6	
52.15	63.7	13.5	48.3	0.4	-230.2	7.4	279.7	-318.5	572.8	8835.3	11636.4	-63.7	
52.20	66.4	13.4	43.0	0.3	-228.8	7.4	269.3	-327.4	583.0	9054.5	11318.5	-63.3	
52.25	69.1	13.1	39.2	0.1	-230.8	7.4	262.7	-334.9	590.8	9466.4	11161.9	-74.8	
52.30	71.8	13.1	41.3	0.0	-230.8	7.4	251.3	-345.9	597.3	9672.1	10976.1	-74.5	
52.35	74.5	13.0	-90.4	-0.1	228.8	7.4	244.1	-341.5	608.4	9677.3	10787.8	-68.7	
52.40	77.3	13.0	-85.7	-0.1	228.2	7.4	245.2	-339.3	622.0	9679.5	10709.5	-63.1	
52.45	80.0	13.4	-81.2	-0.0	229.4	7.4	251.1	-351.2	632.4	9632.7	10814.7	-57.6	
52.50	82.7	13.5	-88.2	-0.0	233.7	7.4	271.5	-349.1	645.6	9596.7	11219.4	-70.4	
52.55	85.4	13.4	-92.5	-0.0	238.0	7.4	296.0	-336.1	660.4	9430.9	11744.8	-80.6	
52.60	88.2	13.6	-94.7	-0.0	242.2	7.4	312.3	-340.4	671.0	9264.8	12212.4	-83.8	
52.65	90.9	13.9	-102.9	-0.1	247.7	7.4	324.3	-350.2	680.3	9336.2	12618.5	-99.3	
52.70	93.6	13.9	-105.5	-0.1	250.1	7.4	326.2	-353.3	691.1	9428.6	12748.3	-107.4	
52.75	96.3	13.6	-100.3	-0.1	246.4	7.4	312.8	-351.0	703.9	9324.8	12502.9	-92.9	
52.80	99.0	13.5	-96.3	-0.2	242.5	7.3	299.2	-343.5	717.3	9189.6	12283.8	-79.5	
52.85	101.7	13.5	-91.9	-0.2	241.8	7.3	293.2	-341.6	727.3	9104.3	12289.5	-75.3	
52.90	104.4	13.2	-92.3	-0.1	242.8	7.3	296.2	-345.5	739.4	9056.5	12386.5	-80.5	
52.95	107.1	13.4	-98.5	-0.2	242.1	7.3	306.2	-333.6	758.3	8876.5	12443.6	-90.3	
53.00	109.8	13.6	-99.1	-0.3	238.5	7.3	308.2	-315.4	776.0	8547.7	12370.2	-88.4	
53.05	112.4	13.6	-98.3	-0.4	236.3	7.3	300.7	-308.0	787.1	8392.8	12293.5	-84.9	
53.10	115.1	13.7	-98.5	-0.5	236.4	7.3	294.9	-305.6	796.4	8425.8	12293.9	-87.3	
53.15	117.8	13.7	-94.7	-0.6	235.6	7.2	293.9	-304.0	808.8	8375.9	12249.8	-84.3	
53.20	120.5	13.6	-94.6	-0.6	235.8	7.2	299.7	-303.8	825.0	8364.1	12244.2	-86.9	
53.25	123.2	13.6	-99.6	-0.7	237.7	7.2	306.7	-300.3	837.9	8422.8	12362.7	-97.0	
53.30	125.9	13.6	-103.9	-0.8	239.0	7.1	307.9	-301.2	842.7	8410.4	12475.6	-103.6	
53.35	128.5	13.6	-102.2	-0.9	236.6	7.1	305.6	-292.0	845.8	8165.0	12446.9	-97.7	
53.40	131.2	13.5	-96.3	-0.9	233.4	7.1	307.6	-274.1	857.0	7943.7	12331.3	-92.2	
53.45	133.9	13.4	-88.4	-0.9	228.3	7.0	301.8	-268.6	865.8	7671.5	12063.3	-78.5	
53.50	136.6	13.3	-86.0	-1.0	222.9	7.0	291.3	-256.5	868.0	7354.0	11838.8	-65.1	
53.55	139.3	13.4	-83.9	-1.0	218.7	6.9	284.4	-235.0	872.7	7069.6	11701.9	-58.3	
53.60	142.0	13.6	-79.4	-1.0	215.3	6.9	281.4	-225.7	881.3	6788.9	11585.3	-56.9	
53.65	144.6	14.0	-75.7	-1.0	211.6	6.8	278.3	-212.9	889.5	6435.4	11492.9	-56.8	
53.70	147.3	14.1	-72.2	-0.8	209.5	6.8	276.3	-199.2	891.7	6126.3	11514.0	-55.8	
53.75	150.0	14.1	-72.5	-0.7	207.3	6.7	273.8	-195.6	891.8	5762.4	11526.0	-56.1	
53.80	152.7	14.2	-79.5	-0.8	205.3	6.7	278.0	-180.1	900.3	5425.8	11531.0	-58.5	
53.85	155.4	14.5	-84.1	-1.0	203.6	6.6	283.5	-161.8	912.9	5106.7	11537.8	-64.9	
53.90	158.0	14.5	-79.4	-1.0	201.9	6.6	283.6	-154.3	914.3	4644.2	11605.0	-59.7	
53.95	160.7	14.3	-77.2	-1.1	202.6	6.5	290.3	-140.6	912.3	4204.6	11835.5	-61.6	
54.00	163.4	14.4	-73.6	-1.0	202.2	6.5	297.5	-122.7	917.8	3766.8	11941.6	-60.8	
54.05	166.0	14.6	-71.9	-0.9	199.8	6.4	298.6	-110.3	927.4	3410.0	11863.8	-55.8	
54.10	168.7	14.8	-75.4	-0.9	199.1	6.4	301.5	-94.4	930.5	3149.0	11885.6	-57.9	
54.15	171.4	14.8	-71.6	-0.9	196.8	6.3	296.7	-77.0	927.9	2737.2	11837.0	-53.4	
54.20	174.0	15.0	-66.6	-0.8	193.6	6.3	292.8	-62.4	929.0	2237.0	11717.2	-44.4	
54.25	176.7	15.2	-68.0	-0.8	189.3	6.3	289.0	-50.8	938.3	1917.0	11456.5	-43.8	
54.30	179.4	15.4	-67.6	-0.9	184.5	6.2	281.6	-37.2	940.5	1583.0	11165.7	-42.2	
54.35	182.0	15.4	-59.0	-0.9	179.2	6.2	268.4	-11.8	934.3	1094.7	10868.1	-21.8	
54.40	184.7	15.5	-52.0	-0.8	176.8	6.1	263.5	11.5	929.7	655.1	10739.8	-13.8	
54.45	187.4	15.6	-47.8	-0.5	175.7	6.1	264.1	11.1	931.4	443.7	10668.6	-17.2	
54.50	190.0	15.3	-52.5	-0.4	176.4	6.1	269.5	12.4	931.6	273.4	10708.8	-27.1	
54.55	192.7	15.4	-61.7	-0.4	177.7	6.1	274.3	32.0	927.5	4.5	10796.0	-32.1	
54.60	195.4	15.7	-68.2	-0.6	178.6	6.0	275.6	48.7	920.8	-326.4	10850.2	-32.8	
