Time[s]	Rotor azimuth angle[deg]	Hub wind speed magnitude[m/s]	ACTTORQUE1[Nm]	PITRAT1[deg/s]	PITFRIC1[kNm]	PITCH1[deg]	Blade root 1 Fx[KN]	Blade root 1 Fy[KN]	Blade root 1 Fz[KN]	Blade root 1 Mx[kNm]	Blade root 1 My[kNm]	Blade root 1 Mz[kNm]	
END_OF_HEADER
50.00	277.8	18.5	-58.4	-0.1	141.9	18.3	208.7	180.1	610.5	-3320.6	7635.2	-72.4	
50.05	280.5	18.3	-59.3	-0.1	140.3	18.3	209.1	175.9	594.1	-3483.5	7454.4	-72.8	
50.10	283.1	18.3	-63.2	-0.1	137.4	18.3	214.8	176.6	583.2	-3404.8	7240.8	-76.3	
50.15	285.7	18.3	-59.3	-0.1	136.0	18.3	219.3	182.1	572.4	-3415.8	7102.8	-64.0	
50.20	288.4	17.5	-51.8	-0.1	135.2	18.3	215.7	184.1	556.7	-3519.1	7007.6	-46.6	
50.25	291.0	16.7	-54.6	-0.1	132.7	18.3	204.6	191.5	536.4	-3431.4	6867.9	-51.4	
50.30	293.6	17.1	-55.4	-0.2	127.3	18.3	187.4	181.1	518.7	-3287.0	6563.0	-53.9	
50.35	296.2	17.0	-52.3	-0.3	123.0	18.3	182.3	169.9	510.3	-3127.7	6325.6	-38.2	
50.40	298.8	16.8	-51.9	-0.5	122.7	18.3	191.4	175.8	507.7	-2932.7	6354.2	-32.0	
50.45	301.4	17.1	-51.3	-0.7	125.5	18.2	201.5	165.3	497.2	-2822.8	6647.1	-34.0	
50.50	304.0	17.6	-58.5	-0.7	131.1	18.2	216.3	149.1	479.9	-2693.9	7163.5	-57.0	
50.55	306.6	17.7	-66.4	-0.9	136.4	18.2	230.9	144.5	471.4	-2660.4	7574.1	-75.3	
50.60	309.2	16.6	-70.0	-1.1	138.5	18.1	232.6	139.0	463.6	-2825.4	7697.8	-78.6	
50.65	311.8	16.0	-70.4	-1.3	135.8	18.1	215.1	145.4	445.1	-2862.7	7516.8	-77.4	
50.70	314.4	15.5	-65.9	-1.4	131.6	18.0	195.1	148.0	420.7	-2705.4	7301.1	-80.0	
50.75	317.0	15.1	-56.2	-1.3	126.8	17.9	183.9	132.3	408.7	-2576.1	7033.0	-72.9	
50.80	319.6	15.7	-52.5	-1.2	120.5	17.9	180.6	113.9	409.7	-2338.7	6643.2	-73.1	
50.85	322.2	16.6	-50.7	-1.2	112.2	17.8	169.7	99.2	403.7	-2038.7	6142.6	-70.2	
50.90	324.7	17.9	-48.4	-1.2	104.9	17.7	150.4	93.7	384.6	-1857.2	5698.0	-53.6	
50.95	327.3	16.7	-44.5	-1.4	101.1	17.7	140.3	100.6	369.0	-1771.2	5447.2	-27.3	
51.00	329.8	16.1	-38.4	-1.6	99.3	17.6	146.1	101.3	368.8	-1573.7	5347.3	-12.5	
51.05	332.4	15.8	-37.0	-1.7	98.3	17.5	154.2	88.1	371.7	-1310.2	5345.4	-19.2	
51.10	334.9	15.5	-40.0	-1.8	99.2	17.4	156.9	67.2	363.0	-965.3	5511.7	-24.8	
51.15	337.5	15.5	-43.3	-1.9	102.2	17.3	160.3	58.8	350.8	-611.3	5798.8	-24.6	
51.20	340.1	15.8	-43.7	-2.1	104.1	17.2	164.1	46.4	349.6	-300.9	5968.9	-20.2	
51.25	342.6	16.2	-44.4	-2.3	106.7	17.1	175.1	25.2	358.3	116.1	6147.4	-26.9	
51.30	345.2	16.3	-48.4	-2.3	113.1	17.0	191.1	4.5	357.6	588.9	6569.0	-50.8	
51.35	347.8	16.1	-51.7	-2.3	120.7	16.9	202.2	-20.5	343.2	829.4	7097.5	-61.1	
51.40	350.4	15.7	-58.1	-2.3	124.7	16.8	205.8	-44.0	333.2	1026.1	7362.2	-68.7	
51.45	352.9	15.9	-60.2	-2.4	123.4	16.7	203.7	-39.0	339.9	1317.0	7221.1	-74.1	
51.50	355.5	16.3	-52.0	-2.4	119.7	16.5	194.0	-31.8	341.5	1369.9	6958.5	-62.7	
51.55	358.1	17.1	-42.2	-2.2	117.5	16.4	181.8	-39.7	330.2	1338.8	6832.8	-45.1	
51.60	0.6	17.1	-39.0	-2.0	119.7	16.3	183.4	-57.2	328.2	1725.3	6899.4	-41.0	
51.65	3.2	16.8	-41.5	-1.8	122.5	16.2	190.6	-87.3	343.4	2250.8	6903.3	-41.0	
51.70	5.7	16.2	-50.2	-1.9	124.0	16.1	192.2	-90.9	355.2	2691.7	6849.2	-44.8	
